Chr	Start	Gene	Region	Reference.Repeat.Length	Median.Repeat.Length	Minimum.Repeat.Length	Maximum.Repeat.Length	SD	Variance	Cohort.Polymorphism
1	113217517	MOV10	UTR5	5	6	6	23	0.79519549113191	0.63233586911652	0.00458715596330275
1	113261601	PPM1J->FAM19A3	intergenic	3	3	3	4	0.0524141093663406	0.00274723886066672	0.00275229357798165
1	114302048	PHTF1	UTR5	5	5	5	6	0.0428156219101096	0.00183317747954946	0.0018348623853211
1	114472334	HIPK1	intronic	6	7	1	41	3.1277284194504	9.78268506583769	0.0908256880733945
1	115053736	TRIM33	UTR5	9	10	3	42	3.51034585655314	12.3225280326198	0.0532110091743119
1	116107015	NGF->VANGL1	intergenic	8	9	9	10	0.397403557844923	0.157929587787803	0.196330275229358
1	116184597	VANGL1	UTR5	5	6	6	36	1.29930449870395	1.68819218035231	0.0119266055045872
1	1167180	SDF4	intronic	3	4	4	24	0.608748556962558	0.370574805603997	0.0018348623853211
1	1168187	B3GALT6	exonic	4	5	5	23	1.48170933342439	2.19546254875696	0.0128440366972477
1	116915941	ATP1A1	UTR5	8	9	3	34	1.19651511798292	1.43164842756169	0.00917431192660551
1	11751560	MAD2L2	UTR5	3	4	4	4	0	0	0
1	117910091	MAN1A2	UTR5	6	7	3	34	1.28387298326348	1.64832983715386	0.0174311926605505
1	120190776	ZNF697	upstream	7	8	8	25	1.6680283567231	2.78231859883236	0.162385321100917
1	120612030	NOTCH2	UTR5	10	14	8	51	4.31169283552018	18.5906951078761	0.707339449541284
1	120612213	NOTCH2	UTR5	6	8	7	8	0.500229515733914	0.250229568411387	0.5
1	1209184	UBE2J2	UTR5	5	6	5	38	2.09313077746911	4.38119645158844	0.0669724770642202
1	120925405	FCGR1B	downstream	5	6	6	32	1.50557999814839	2.26677113082451	0.0137614678899083
1	1284449	DVL1	UTR5	3	4	4	24	0.742088001792483	0.550694602404361	0.0055045871559633
1	1297038	MXRA8	UTR5	3	4	4	4	0	0	0
1	1334664	CCNL2	exonic	6	7	5	31	1.37856530050812	1.90044228776506	0.0201834862385321
1	14026743	PRDM2	UTR5	5	6	6	39	1.71715034846909	2.94860531924752	0.0073394495412844
1	14026864	PRDM2	intronic	6	7	3	33	1.27419722624419	1.6235785713684	0.0137614678899083
1	1407234	ATAD3B	UTR5	7	8	4	27	1.01769295027367	1.03569894103672	0.0165137614678899
1	1407315	ATAD3B	exonic	3	4	4	20	0.571092996119956	0.326147210217269	0.00275229357798165
1	1447618	ATAD3A	UTR5	7	8	3	23	0.957777469138956	0.917337680390224	0.00825688073394495
1	1447699	ATAD3A	exonic	3	4	4	9	0.151445633203846	0.0229357798165138	0.000917431192660551
1	144931740	LOC100996724	ncRNA	5	6	5	7	0.131162991660675	0.0172037303813784	0.0174311926605505
1	145209154	NOTCH2NL	UTR5	6	8	6	8	0.530099249936616	0.281005214783363	0.505504587155963
1	145209324	NOTCH2NL	UTR5	10	19	7	52	6.08951328203086	37.0821720120302	0.971559633027523
1	145477310	LIX1L	exonic	5	6	6	17	0.384106666749204	0.147537931441184	0.00275229357798165
1	145560244	ANKRD35	exonic	3	4	4	8	0.121156506563077	0.0146788990825688	0.000917431192660551
1	145611145	RNF115	UTR5	5	6	6	31	0.800449848670249	0.640719960236224	0.00275229357798165
1	146644222	NBPF19	intronic	5	6	6	23	0.56964846385521	0.3244993723726	0.00275229357798165
1	147071982	BCL9->NBPF19	intronic	8	9	1	25	0.881337075116206	0.776755039974389	0.00825688073394495
1	148855086	NBPF25P	ncRNA	3	8	1	41	4.66874261059262	21.7971575639632	0.634862385321101
1	148855780	NBPF25P	ncRNA	6	19	2	44	8.62864786608733	74.4535639969335	0.977064220183486
1	148855835	NBPF25P	ncRNA	5	6	3	34	1.78636322960676	3.19109358809109	0.576146788990826
1	14925615	KAZN	exonic	4	5	5	32	1.51349255857268	2.29065972485489	0.00917431192660551
1	149379860	FCGR1CP->RNVU1-19	intergenic	5	6	6	22	1.026574467784	1.053855137906	0.0103578154425612
1	149764790	HIST2H2BF	intronic	5	6	6	25	0.903366277458898	0.816070631249947	0.00825688073394495
1	150122502	PLEKHO1	intronic	5	6	6	21	0.758593145039173	0.575463559700424	0.0137614678899083
1	150293939	PRPF3	UTR5	5	6	6	12	0.181734759844615	0.0330275229357798	0.000917431192660551
1	150337132	RPRD2	UTR5	8	9	5	26	1.01957694971225	1.03953715638453	0.0330275229357798
1	150337199	RPRD2	exonic	5	6	6	11	0.214078109550548	0.0458294369887364	0.0018348623853211
1	150552014	MCL1	UTR5	4	5	5	15	0.302891266407691	0.0917431192660551	0.000917431192660551
1	150947251	CERS2	UTR5	7	8	3	48	3.75671203539593	14.1128853168887	0.0623853211009174
1	151584735	SNX27	exonic	4	5	5	24	0.790737100461217	0.625265162045813	0.0119266055045872
1	151584776	SNX27	exonic	7	8	8	26	0.646914011298257	0.418497738014002	0.0036697247706422
1	151810695	C2CD4D	exonic	4	5	5	35	0.921070636458064	0.848371117345262	0.0018348623853211
1	153233487	LOR	exonic	10	11	3	52	5.47869457260858	30.0160942199307	0.63394495412844
1	153233607	LOR	exonic	5	13	5	45	11.2890860120221	127.443462986832	0.995412844036697
1	153233863	LOR	exonic	4	31	5	55	16.1879951902574	262.051188279795	0.988990825688073
1	153233961	LOR	exonic	5	11	6	55	12.1209702505754	146.917919815334	0.669724770642202
1	153234116	LOR	exonic	6	7	6	55	12.2252535470477	149.456824289602	0.498165137614679
1	153234260	LOR	exonic	4	5	5	56	12.6892949137004	161.018205406863	0.157798165137615
1	1534914	FNDC10	exonic	4	5	3	46	5.04246246857904	25.4264277470282	0.0495412844036697
1	1535548	FNDC10	upstream	5	6	6	26	0.843553723675719	0.711582884727172	0.0055045871559633
1	153895250	GATAD2B	UTR5	5	6	6	21	0.76405293323023	0.583776884777719	0.0146788990825688
1	153895398	GATAD2B	UTR5	11	12	12	42	1.58054169925468	2.49811206308287	0.0137614678899083
1	154193478	UBAP2L	intronic	7	8	8	33	0.91889624473631	0.844370308590492	0.00458715596330275
1	154301253	ATP8B2	intronic	5	6	6	14	0.296544435175711	0.0879386020336813	0.00275229357798165
1	154474314	SHE	exonic	5	6	6	20	0.623686562720308	0.388984928517873	0.0036697247706422
1	154531091	UBE2Q1	UTR5	11	11	5	47	5.15789429887517	26.603873598369	0.265137614678899
1	154990026	ZBTB7B	UTR3	6	8	8	12	0.121156506563077	0.0146788990825688	0.000917431192660551
1	155051394	EFNA3	UTR5	5	6	6	24	0.556678757752117	0.30989123933244	0.0036697247706422
1	155054406	EFNA3	intronic	5	6	6	21	0.636799697030163	0.405513854137707	0.0036697247706422
1	155243262	CLK2	UTR5	4	5	5	20	0.709250449559606	0.503036200200504	0.0073394495412844
1	155532207	ASH1L-AS1	ncRNA	9	10	10	39	1.64925190456737	2.72003184471908	0.0165137614678899
1	155532248	ASH1L-AS1	ncRNA	5	6	6	24	0.671978860719347	0.451555589253671	0.0036697247706422
1	155532659	ASH1L-AS1	ncRNA	9	12	1	45	5.12851502599029	26.3016663718082	0.95045871559633
1	155658111	YY1AP1	exonic	5	6	3	6	0.0908673799223074	0.00825688073394495	0.000917431192660551
1	156023493	UBQLN4	UTR5	3	4	4	38	1.83165267363559	3.35495151683642	0.0100917431192661
1	156051537	MEX3A	exonic	4	5	4	21	0.753950179019946	0.568440872444209	0.490825688073394
1	156252554	SMG5	UTR5	5	6	6	34	1.92622741675561	3.71035206106099	0.0229357798165138
1	156358361	RHBG->C1orf61	intergenic	4	5	5	25	0.605782532815383	0.36697247706422	0.000917431192660551
1	156390263	C1orf61	intronic	4	5	5	5	0	0	0
1	15736563	EFHD2	exonic	7	8	8	31	0.915926943471956	0.838922165777879	0.0055045871559633
1	158147564	LINC01704->CD1D	intergenic	3	19	4	36	8.72350860389545	76.0996023622379	0.972477064220184
1	1590380	CDK11B	intronic	10	11	4	20	0.481991338352942	0.23231565024726	0.00825688073394495
1	159824645	VSIG8	exonic	4	5	5	5	0	0	0
1	159897208	IGSF9	exonic	3	4	4	17	0.393758646329999	0.155045871559633	0.000917431192660551
1	159899444	IGSF9	exonic	4	5	5	10	0.151445633203846	0.0229357798165138	0.000917431192660551
1	16010795	PLEKHM2	UTR5	5	6	6	53	1.76591924490381	3.11847077952166	0.0100917431192661
1	16011007	PLEKHM2	UTR5	11	12	1	42	1.67484912340997	2.80511958618714	0.402752293577982
1	160175192	LOC729867	ncRNA	12	14	6	37	1.58843195155917	2.52311606473408	0.500917431192661
1	161102429	DEDD	UTR5	9	10	7	40	1.23849164361038	1.53386155129274	0.026605504587156
1	16174429	FLJ37453	ncRNA	15	16	5	31	1.0409448936213	1.08356627155626	0.0110091743119266
1	164290691	LOC100422212->PBX1	intergenic	4	5	5	5	0	0	0
1	164761842	PBX1	exonic	9	10	10	35	0.757228166019228	0.573394495412844	0.000917431192660551
1	16482357	EPHA2	exonic	4	5	5	15	0.481046568567505	0.231405801130572	0.00458715596330275
1	165414390	RXRG	UTR5	7	8	7	18	0.365374402632361	0.133498454098955	0.0431192660550459
1	166135864	FAM78B	UTR5	5	6	3	32	1.12656380445567	1.26914600550964	0.0128440366972477
1	166135949	FAM78B	UTR5	6	7	6	32	1.65843723595238	2.75041406559338	0.0321100917431193
1	166136046	FAM78B	upstream	9	10	4	42	1.26895000597225	1.61023411765697	0.0119266055045872
1	16678925	FBXO42	UTR5	4	5	5	21	0.742013639413938	0.550584241076318	0.00642201834862385
1	166808855	POGK	intronic	6	7	7	34	2.40943996925655	5.80540096545101	0.0256880733944954
1	166808934	POGK	intronic	6	7	6	23	1.03627275092593	1.07386121431159	0.413761467889908
1	167691354	MPZL1	UTR5	5	6	6	28	1.05644323849212	1.11607231615572	0.00825688073394495
1	168106037	GPR161	intronic	4	5	4	44	4.95280129712363	24.5302406887895	0.502752293577982
1	168148259	TIPRL	UTR5	3	4	4	4	0	0	0
1	169075858	ATP1B1	upstream	7	9	2	40	5.79690276649797	33.6040816842318	0.472477064220183
1	169454958	SLC19A2	exonic	5	6	6	43	1.26372133033542	1.59699160074473	0.0036697247706422
1	17018974	ESPNP	ncRNA	6	5	1	19	2.31449325966596	5.35687904903918	0.562385321100917
1	17019879	ESPNP	ncRNA	4	5	5	24	0.752025820379181	0.56554283451698	0.0018348623853211
1	17026022	ESPNP	ncRNA	7	9	5	52	2.93317743711348	8.6035298775916	0.635779816513761
1	173991290	RC3H1->LOC102724601	intergenic	8	9	9	32	1.35317365087075	1.83107892941087	0.0596330275229358
1	174128486	LOC102724601->RABGAP1L	upstream	4	5	5	33	1.0951112961225	1.19926875089511	0.0036697247706422
1	176176348	RFWD2	UTR5	5	6	6	34	1.41132770769872	1.99184589851813	0.00825688073394495
1	177140592	BRINP2	UTR5	9	10	10	18	0.321831275744652	0.10357537004743	0.0018348623853211
1	17764854	RCC2	exonic	6	7	2	33	1.08988190296229	1.1878425624047	0.0119266055045872
1	17764982	RCC2	exonic	4	5	5	24	0.714535506029385	0.510560989376669	0.0018348623853211
1	178063148	RASAL2	UTR5	4	5	5	23	0.951155441995923	0.90469667483846	0.00917431192660551
1	17866203	ARHGEF10L	upstream	4	5	5	31	1.34124073716222	1.79892671502346	0.0110091743119266
1	17866309	ARHGEF10L	upstream	5	6	5	33	1.52326462827638	2.32033512775798	0.48256880733945
1	178694394	RALGPS2	UTR5	11	13	12	47	4.53202501343531	20.5392507224033	0.0697247706422018
1	178694477	RALGPS2	UTR5	3	5	4	30	0.954921575773923	0.911875215878552	0.495412844036697
1	178694640	RALGPS2	intronic	4	5	5	44	2.54074869163326	6.45540391403611	0.0403669724770642
1	178995105	FAM20B	UTR5	4	23	5	42	10.8497103505436	117.716214690693	0.980733944954128
1	179198768	ABL2	UTR5	11	14	9	49	5.36648410506767	28.799151649944	0.74954128440367
1	180601205	XPR1	UTR5	3	4	4	34	0.947851299384484	0.898422085744855	0.00275229357798165
1	180601283	XPR1	UTR5	3	4	4	20	0.499433129091658	0.249433450434284	0.0018348623853211
1	180882394	KIAA1614	exonic	3	4	4	32	0.953407806205229	0.908986444933067	0.00275229357798165
1	181159156	LINC01732->LINC01699	intergenic	5	6	6	22	0.517424542617378	0.267728157302803	0.0018348623853211
1	1822294	GNB1	UTR5	6	7	6	35	1.50175787117975	2.25527670365035	0.495412844036697
1	1822454	GNB1	UTR5	7	8	5	47	3.2228863988213	10.3869967397073	0.0321100917431193
1	182808688	DHX9	intronic	4	5	5	17	0.583656655375415	0.340655091364015	0.00642201834862385
1	182922001	SHCBP1L	exonic	6	7	6	21	0.748806066190641	0.560710524763903	0.0165137614678899
1	182992923	LAMC1	exonic	6	7	7	20	0.575805859585247	0.331552387932705	0.00275229357798165
1	183441737	SMG7	UTR5	5	6	6	40	2.05341104321813	4.21649691241017	0.0174311926605505
1	183774275	RGL1	UTR5	3	5	4	13	0.24422634331519	0.0596465067691089	0.0018348623853211
1	184006554	COLGALT2	UTR5	3	4	4	9	0.193858146033768	0.0375809807836497	0.0018348623853211
1	18434567	IGSF21	UTR5	4	5	4	25	0.776019577142206	0.602206384107969	0.335779816513761
1	185014698	RNF2	UTR5	4	5	5	9	0.176456959794717	0.0311370586599944	0.00275229357798165
1	185014922	RNF2	intronic	5	6	6	18	0.508026078355231	0.258090496288995	0.0036697247706422
1	185285933	IVNS1ABP	intronic	3	4	4	12	0.270814656966995	0.0733405784281514	0.0018348623853211
1	185286376	IVNS1ABP	UTR5	5	6	6	26	0.747799584784621	0.559204219004052	0.00458715596330275
1	185703547	HMCN1	upstream	3	4	4	4	0	0	0
1	186650009	PACERR	ncRNA	4	5	5	5	0	0	0
1	19043531	PAX7	intronic	8	9	9	27	0.994987902789865	0.990000926698174	0.0055045871559633
1	19282304	IFFO2	exonic	4	5	5	45	1.80896677850146	3.27236080572194	0.0137614678899083
1	19282727	IFFO2	exonic	7	8	2	39	3.79260855665725	14.3838796640298	0.0532110091743119
1	193091282	CDC73	UTR5	5	6	6	34	1.37272294608328	1.88436828670357	0.0073394495412844
1	19536706	UBR4	exonic	4	5	5	13	0.366797721256167	0.134540568318717	0.0036697247706422
1	19811936	CAPZB	UTR5	5	6	6	21	0.663195781864619	0.439828645083024	0.0055045871559633
1	198126697	NEK7	intronic	4	5	4	11	0.205393940296301	0.0421866707104405	0.00275229357798165
1	200008519	NR5A2	intronic	5	6	6	33	0.954720407953353	0.911491057362617	0.0036697247706422
1	200378723	ZNF281	exonic	15	16	8	44	4.72048593964898	22.2829875064237	0.200917431192661
1	200379079	ZNF281	UTR5	8	9	9	31	1.33548017576236	1.78350729985426	0.0128440366972477
1	200708069	CAMSAP2	upstream	5	6	6	31	1.9916202576348	3.96655125062131	0.222018348623853
1	200708749	CAMSAP2	UTR5	7	8	7	42	1.96806544777508	3.87328160672614	0.113761467889908
1	200842450	GPR25	exonic	5	6	6	6	0	0	0
1	200992617	KIF21B	UTR5	7	8	1	23	0.767735598563194	0.589417949301185	0.0036697247706422
1	201437895	PHLDA3	exonic	5	6	6	31	0.907561033166039	0.823667028921408	0.00275229357798165
1	201617846	NAV1	exonic	3	4	4	25	1.15094435906654	1.32467291766708	0.00642201834862385
1	201617946	NAV1	exonic	5	6	6	44	1.16069856946415	1.34722116915611	0.0256880733944954
1	201798340	IPO9	exonic	4	5	5	5	0	0	0
1	202066558	ELF3->GPR37L1	intergenic	11	12	3	27	0.616893045712225	0.380557029848106	0.0055045871559633
1	20209136	OTUD3	exonic	6	7	7	16	0.346395326288899	0.119989722074793	0.00275229357798165
1	202113898	ARL8A	upstream	5	6	6	41	1.31148250169922	1.71998635226325	0.00917431192660551
1	202162975	LGR6	upstream	5	6	6	37	1.99199351905692	3.96803817996479	0.0110091743119266
1	203096808	ADORA1	upstream	5	6	6	10	0.121156506563077	0.0146788990825688	0.000917431192660551
1	204353917	LINC00628->PPP1R15B	intergenic	3	4	4	4	0	0	0
1	204654401	LRRN2	intronic	4	5	5	52	1.67208510879319	2.79586861104793	0.0018348623853211
1	204970443	NFASC	intronic	9	10	5	10	0.518258305780786	0.268591671510771	0.494495412844037
1	205012358	CNTN2	UTR5	9	10	6	31	0.853620424575027	0.728667829251649	0.0055045871559633
1	205180599	DSTYK	exonic	3	4	4	4	0	0	0
1	205538031	MFSD4A	upstream	5	6	6	42	1.37712997624266	1.89648697146612	0.00458715596330275
1	205600895	ELK4	UTR5	3	4	4	22	0.722447154517783	0.521929891070842	0.0036697247706422
1	206858677	MAPKAPK2	exonic	4	5	5	37	4.91933944656795	24.1999005905595	0.21743119266055
1	207082707	FCMR	intronic	4	5	5	5	0	0	0
1	208417645	PLXNA2	UTR5	12	11	6	31	0.726276423494514	0.527477443323982	0.0155963302752294
1	20879454	FAM43B	UTR5	3	4	4	39	1.55440506156143	2.41617509540779	0.00275229357798165
1	20960000	PINK1	UTR5	4	5	4	6	0.50199390137603	0.251997877018728	0.493577981651376
1	210405975	SERTAD4-AS1	ncRNA	4	6	5	33	2.64798549770652	7.01182719606406	0.788990825688073
1	210406949	SERTAD4-AS1	ncRNA	3	4	4	11	0.260443730112424	0.0678309365548732	0.0018348623853211
1	21113160	HP1BP3	UTR5	5	6	6	18	0.525572851291787	0.276226822014979	0.00458715596330275
1	211432981	RCOR3	exonic	6	7	7	27	0.624291411364572	0.389739766303569	0.0018348623853211
1	211500152	TRAF5	UTR5	4	5	5	35	1.24869381043301	1.55923623221371	0.0119266055045872
1	211752247	SLC30A1	upstream	5	6	6	23	0.828509047359482	0.686427241556516	0.0036697247706422
1	212004185	LOC102723727	ncRNA	5	6	6	25	1.11542284354315	1.24416811989789	0.0100917431192661
1	212606303	NENF	exonic	5	6	6	6	0	0	0
1	213124820	VASH2	UTR5	9	10	10	16	0.321548441489136	0.103393400224092	0.0036697247706422
1	213224720	RPS6KC1	UTR5	7	8	8	23	0.778507601315992	0.606074085306779	0.0660550458715596
1	214454474	SMYD2	upstream	3	4	3	23	1.06174092348128	1.12729378859487	0.319266055045872
1	214454775	SMYD2	intronic	7	8	4	37	1.93851105842344	3.75782512362996	0.026605504587156
1	21502720	EIF4G3	UTR5	17	19	12	52	7.40117213482154	54.7773489692589	0.941284403669725
1	21502789	EIF4G3	UTR5	8	9	9	52	6.34370795697447	40.2426306433813	0.122018348623853
1	21503057	EIF4G3	intronic	15	16	5	53	6.04126633504328	36.4968989309273	0.185321100917431
1	215043890	CENPF->KCNK2	intergenic	5	6	1	14	0.411993021650094	0.169738249888375	0.0073394495412844
1	215256347	KCNK2	intronic	9	10	1	42	1.42249610492708	2.0234951685327	0.0165137614678899
1	215740915	KCTD3	UTR5	3	4	4	14	0.338518321208744	0.114594653793987	0.0018348623853211
1	2159439	SKI	upstream	3	4	1	42	3.20244462796541	10.2556515951845	0.0954128440366973
1	2159527	SKI	upstream	3	4	4	37	1.70244682843929	2.89832520366298	0.0174311926605505
1	2159702	SKI	upstream	4	5	1	34	2.07336399541191	4.29883825747045	0.0376146788990826
1	2159943	SKI	upstream	3	4	4	37	3.28593951640753	10.7973985054886	0.0440366972477064
1	2160445	SKI	exonic	3	4	4	19	1.05063584937368	1.10383568798915	0.0100917431192661
1	21616731	ECE1	UTR5	4	5	5	23	0.713683154457674	0.509343644956656	0.00275229357798165
1	217308870	ESRRG	intronic	12	13	5	37	1.50664724837528	2.26998593103681	0.018348623853211
1	217313041	ESRRG->GPATCH2	intergenic	4	5	5	15	0.387716292067536	0.150323923134599	0.0018348623853211
1	21754797	ECE1->NBPF3	intergenic	3	4	4	34	0.95777395076664	0.917330940767138	0.0036697247706422
1	21978319	RAP1GAP	UTR5	4	5	5	29	1.12971029736763	1.27624535597847	0.0055045871559633
1	21995834	RAP1GAP	UTR5	3	4	4	4	0	0	0
1	220701571	MARK1	UTR5	5	6	6	35	1.34597965543523	1.81166123284555	0.0100917431192661
1	220701634	MARK1	UTR5	3	4	4	24	0.6416312949791	0.411690718696557	0.0018348623853211
1	221057859	HLX	exonic	4	5	5	8	0.109162704574215	0.0119164960699573	0.0018348623853211
1	221057945	HLX	exonic	4	5	5	5	0	0	0
1	22109484	USP48	UTR5	6	7	7	16	0.45054864061077	0.202994077556213	0.00458715596330275
1	2212019	SKI	intronic	4	5	5	36	4.26350811576936	18.1775014532312	0.0944954128440367
1	2212062	SKI	intronic	4	5	5	32	3.53500488106975	12.4962595091869	0.0899082568807339
1	2212105	SKI	intronic	4	5	5	28	2.74928931830683	7.55859175575606	0.125688073394495
1	2212148	SKI	intronic	4	5	1	35	4.01426509169706	16.1143242264176	0.236697247706422
1	2212278	SKI	intronic	4	6	1	39	3.08422011967461	9.51241374660566	0.647629310344828
1	2212321	SKI	intronic	4	6	1	39	3.03009299919807	9.18146358378917	0.645877378435518
1	2212364	SKI	intronic	4	6	1	35	2.76849302335406	7.6645536203601	0.642405063291139
1	2212407	SKI	intronic	4	5	1	35	2.75365334423105	7.58260674019483	0.288745387453875
1	2212450	SKI	intronic	4	5	4	35	3.15547910499646	9.95704838206923	0.18256880733945
1	2212493	SKI	intronic	4	5	5	31	2.49725403316709	6.23627770616928	0.0770642201834862
1	223537664	SUSD4	upstream	4	5	5	31	2.70306496048872	7.3065601806219	0.0889908256880734
1	223742392	CAPN8	intronic	5	6	4	34	1.58655419994477	2.51715422936239	0.0506445672191529
1	224033488	TP53BP2	UTR5	8	9	9	30	1.34163168152303	1.79997556886631	0.0220183486238532
1	224370959	DEGS1	UTR5	5	6	4	34	0.956682191303576	0.915240815157412	0.0128440366972477
1	224622387	CNIH3->WDR26	upstream	7	8	8	36	1.60695182494643	2.58229416769867	0.036697247706422
1	22469616	WNT4	upstream	12	14	6	49	4.3286623956464	18.7373181354833	0.588990825688073
1	224804030	CNIH3	intronic	8	9	9	47	2.56491955232938	6.57881230992157	0.026605504587156
1	225841032	ENAH	upstream	6	7	1	39	2.04272957627411	4.17274412178499	0.0302752293577982
1	226070006	TMEM63A	UTR5	3	4	4	4	0	0	0
1	226250678	H3F3AP4	ncRNA	3	4	4	20	0.805412667230969	0.648689564536103	0.00458715596330275
1	226313672	LINC01703->ACBD3	intergenic	8	9	5	14	0.395364288599653	0.15631292069991	0.0871559633027523
1	226736634	STUM	exonic	10	11	5	44	1.27677711966985	1.63015981331244	0.00825688073394495
1	227505901	CDC42BPA	upstream	3	4	4	45	2.03683508085757	4.14869714661208	0.0229357798165138
1	228135640	WNT9A	UTR5	5	6	6	30	1.07934945228188	1.1649952401412	0.00642201834862385
1	228194520	WNT3A	upstream	3	4	4	31	1.90030656160942	3.6111650280958	0.0256880733944954
1	228270577	ARF1	intronic	4	5	5	36	1.75506324877086	3.08024700718612	0.0825688073394495
1	22889948	EPHA8	upstream	6	7	7	36	1.77436214113992	3.14836100791063	0.0137614678899083
1	22890175	EPHA8	exonic	6	7	7	37	1.64576449936085	2.70854078735647	0.0165137614678899
1	22890227	EPHA8	intronic	4	5	5	36	3.38838471238621	11.4811509591326	0.0339449541284404
1	229761660	TAF5L	UTR5	5	6	6	43	4.84551105980444	23.4789774306872	0.0871559633027523
1	229761763	TAF5L	UTR5	6	7	2	44	4.5334884659001	20.5525176704493	0.189908256880734
1	229762025	URB2	UTR5	6	7	7	43	3.02381624305086	9.14346467173823	0.0284403669724771
1	230561969	PGBD5	upstream	14	15	6	43	3.09817526711491	9.59868998576255	0.0614678899082569
1	231114358	TTC13	exonic	3	4	4	17	0.440668537558103	0.194188759993597	0.0036697247706422
1	231298895	TRIM67	exonic	5	6	6	32	1.12924225815666	1.27518807760676	0.00642201834862385
1	231299471	TRIM67	exonic	7	8	8	35	1.05812450464673	1.11962746733389	0.00642201834862385
1	231473142	EXOC8	exonic	3	4	4	20	0.542438298027293	0.294239307166747	0.00275229357798165
1	231557635	EGLN1	UTR5	11	12	12	42	1.52757790041442	2.33349424183453	0.0128440366972477
1	231557951	EGLN1	UTR5	4	5	5	19	0.424047772970768	0.179816513761468	0.000917431192660551
1	231762652	DISC1	exonic	4	5	5	22	0.87604472495125	0.767454360114911	0.00642201834862385
1	232765380	SIPA1L2->LINC01745	intergenic	3	4	4	4	0	0	0
1	233431331	PCNX2	UTR5	10	11	11	26	0.737455358462673	0.54384040572531	0.0119266055045872
1	23346107	KDM1A	exonic	10	11	2	26	0.610976035668154	0.373291716160774	0.00458715596330275
1	23346511	KDM1A	intronic	3	4	4	4	0	0	0
1	234744786	IRF2BP2	exonic	7	8	8	33	0.874295169765307	0.764392043874946	0.00458715596330275
1	234745291	IRF2BP2	upstream	4	5	4	34	1.67301996286957	2.7989957961601	0.0128440366972477
1	234745360	IRF2BP2	upstream	12	13	6	48	5.49417046814455	30.1859091330317	0.101834862385321
1	234745871	IRF2BP2	upstream	12	13	13	34	0.819133704252289	0.670980025442077	0.0110091743119266
1	23495231	LUZP1	intronic	4	5	5	37	2.08838755581849	4.36136258329753	0.0220183486238532
1	236030198	LYST	UTR5	8	9	9	31	2.70106706774141	7.2957633044372	0.0495412844036697
1	236305895	GPR137B	UTR5	5	6	6	37	3.16802469772907	10.0363804854214	0.0256880733944954
1	237205759	RYR2	UTR5	5	6	6	18	0.48803857397878	0.238181649691241	0.00275229357798165
1	23946059	ID3->MDS2	intergenic	7	7	4	28	1.01118670223098	1.02249854676877	0.56697247706422
1	240255077	FMN2	upstream	4	5	5	34	1.1548668719161	1.33371749184927	0.0055045871559633
1	240255569	FMN2	exonic	5	5	5	41	2.29471910181352	5.26573575622783	0.258715596330275
